Time (s),Speed (km/h),Normalized current (A)
619,4.828032,-0.08980354874001746
620,0.0,-0.02338908181784982
621,0.0,0.003965928990029979
622,0.0,0.003966055274572295
623,0.0,0.003966169602141587
624,0.0,0.003966273109326195
625,0.0,0.003966366824781023
626,0.0,0.003966451679448343
627,0.0,0.003966528515842058
628,0.0,0.003966598096432877
629,0.0,0.00396666111122183
630,0.0,0.003966718184639461
631,0.0,0.003966769881758234
632,0.0,0.00396681671393676
633,0.0,0.003966859143927081
634,0.0,0.003966897590469967
635,0.0,0.003966932432496879
636,0.0,0.003966964012894866
637,0.0,0.003966992641946802
638,0.0,0.003967018600440703
639,0.0,0.0039670421424419025
640,0.0,0.00396706349784668
641,0.0,0.003967082874698656
642,0.0,0.0039671004612366854
643,0.0,0.0039671164278116625
644,0.0,0.00396713092854107
645,0.0,0.003967144102907347
646,3.218688,0.02285109959497529
647,7.2420480000000005,0.08701279453166214
648,12.5528832,0.20798808959321097
649,16.4153088,0.22613670214153386
650,20.1168,0.2738556400815024
651,22.530816,0.21884036774812984
652,24.6229632,0.2141115105513746
653,28.163520000000002,0.3801498849102904
654,31.5431424,0.41280802305155617
655,33.796224,0.3169412308398854
656,35.72743680000001,0.29660801670655434
657,37.4977152,0.29124001000805905
658,39.428928,0.3292460160647085
659,40.7164032,0.24886353008418868
660,41.1992064,0.1339813822305082
661,41.842944,0.1604513501124493
662,42.003878400000005,0.08816598082799149
663,42.1648128,0.08855740943436526
664,42.1648128,0.06398331205105949
665,42.486681600000004,0.11402174244050126
666,42.647616,0.08973922785585173
667,42.647616,0.06488622048481749
668,41.842944,-0.04006642046021555
669,41.038272000000006,-0.039471361086450246
670,37.9805184,-0.26131223993357094
671,34.439961600000004,-0.2837317043719543
672,29.772864,-0.34239191171833133
673,26.3932416,-0.20929034732878532
674,23.335488,-0.16521934968591404
675,18.6683904,-0.22403096297693517
676,14.0012928,-0.1737409084992621
677,9.3341952,-0.12319677128906718
678,5.632704,-0.05953607410815438
679,3.218688,-0.0192770122863198
680,0.0,-0.007752779044055511
681,0.0,0.003966405282656077
682,0.0,0.003966521680940227
683,0.0,0.003966627072692446
684,0.0,0.003966722504249567
685,0.0,0.003966808922556257
686,0.0,0.003966887184617855
687,0.0,0.003966958066004186
688,0.0,0.003967022268585396
689,0.0,0.0039670804275310535
690,0.0,0.003967133117641182
691,0.0,0.00396718085907165
692,0.0,0.003967224122522624
693,0.0,0.003967263333952501
694,2.2530816,0.01321961935406702
695,5.3108352000000005,0.05066870480569417
696,7.0811136,0.05140524315764968
697,10.460736,0.1227383530935751
698,14.8059648,0.219954339676966
699,18.1855872,0.22804160086844846
700,21.726144,0.2873144653826418
701,23.4964224,0.17872190884717348
702,26.3932416,0.3001964199368574
703,26.8760448,0.08516667474507253
704,26.554176,0.007010237119577015
705,26.554176,0.038119586803799885
706,29.2900608,0.3197396340539161
707,30.899404799999996,0.22050017933877245
708,32.347814400000004,0.21326949387038005
709,34.600896,0.32490558685670234
710,36.210240000000006,0.26043115908034364
711,36.210240000000006,0.05335354296756453
