,Time (s),Speed (km/h),Normalized current (A)
223,223,103.3198848,0.18490244082958338
224,224,102.0324096,-0.060892592284256974
225,225,102.998016,0.2582382132918742
226,226,102.8370816,0.0845944657581589
227,227,102.998016,0.13443753668400757
228,228,102.6761472,0.0595940511733556
229,229,102.998016,0.15920056782902206
230,230,101.8714752,-0.0439473038453712
231,231,102.0324096,0.1321043895816462
232,232,102.8370816,0.23294062723361855
233,233,102.998016,0.13444524872908747
234,234,103.48081920000001,0.18539403322958112
235,235,104.2854912,0.23794597929550199
236,236,104.7682944,0.1892203413181596
237,237,102.998016,-0.1122803034296993
238,238,103.3198848,0.16007944253920978
239,239,101.5496064,-0.11177659828207882
240,240,102.5152128,0.2565025408467791
241,241,101.5496064,-0.027142197711836662
242,242,102.5152128,0.25651328440850696
243,243,102.193344,0.058796013044829745
244,244,101.388672,-0.01034442516112556
245,245,101.5496064,0.13097308711412944
246,246,101.388672,0.08184309822949529
247,247,101.8714752,0.18072676318278771
248,248,102.0324096,0.13213715273918056
249,249,101.8714752,0.0827628367273717
250,250,100.584,-0.06109582731085266
251,251,100.584,0.10452138657777471
252,252,101.2277376,0.20321757453179706
253,253,101.0668032,0.08124893177276758
254,254,100.1011968,-0.02780090907518717
255,255,100.4230656,0.15246786059241269
256,256,100.2621312,0.07975351655590934
257,257,100.2621312,0.10385941775581033
258,258,100.4230656,0.128341039306032
259,259,99.94026240000001,0.03110097251534842
260,260,100.584,0.2012509186295252
261,261,101.0668032,0.17846451521772777
262,262,100.2621312,-0.011044624707171527
263,263,100.2621312,0.10387121702608207
264,264,100.4230656,0.12835499077828477
265,265,99.6183936,-0.011430444826608877
266,266,101.0668032,0.3242066173617933
267,267,101.0668032,0.10557972477887016
268,268,100.2621312,-0.01104568358334758
269,269,101.0668032,0.2270752706324148
270,270,100.4230656,0.007604158896506162
271,271,99.94026240000001,0.0311064960120486
272,272,99.6183936,0.05463234781398049
273,273,99.4574592,0.07829464421645958
274,274,99.94026240000001,0.1752868592779274
275,275,99.94026240000001,0.1032162774712782
276,276,99.94026240000001,0.1032177974125655
277,277,99.779328,0.07889022160364349
278,278,100.4230656,0.200808486040157
279,279,100.1011968,0.05540898063207345
280,280,100.1011968,0.10355953155659603
281,281,100.4230656,0.1525323306257875
282,282,100.90586880000001,0.1780562288389102
283,283,100.7449344,0.08068490416029853
284,284,102.5152128,0.37995769878917957
285,285,103.48081920000001,0.26025560896864447
286,286,104.2854912,0.23813981585532182
287,287,104.7682944,0.1893689825956534
288,288,106.0557696,0.32098780338166194
289,289,106.37763840000001,0.16859942561613148
290,290,107.826048,0.35463200428001596
291,291,108.14791679999999,0.173600677132264
292,292,108.63072,0.20115925399480766
293,293,109.9181952,0.3377907735956553
294,294,109.9181952,0.12570530911846514
295,295,110.7228672,0.26117035134687583
296,296,111.2056704,0.20929398549848105
297,297,111.68847360000001,0.2108417299512328
298,298,115.3899648,0.7823704849467562
299,299,116.0337024,0.2533312170156047
300,300,120.53986560000001,0.9747345604507235
301,301,116.83837439999999,-0.34887938230858606
302,302,116.19463680000001,0.02953356788306739
303,303,116.19463680000001,0.14160865967312666
304,304,115.87276800000001,0.08484602263071259
305,305,116.67744000000002,0.2837559156951192
306,306,117.1602432,0.22902014021964415
307,307,116.99930880000001,0.1154901565406993
308,308,115.55089920000002,-0.07605907176915488
309,309,114.9071616,0.027393582647629814
310,310,114.4243584,0.05416716317425469
311,311,114.4243584,0.13687164903771595
312,312,114.10248960000001,0.0810515330207693
313,313,114.263424,0.1639929724313996
314,314,114.263424,0.13644977790503962
315,315,114.5852928,0.192538740202248
316,316,116.0337024,0.39329098695543685
317,317,116.83837439999999,0.28428018080206463
318,318,118.4477184,0.43403037621060064
319,319,120.3789312,0.5027668557535777
320,320,121.8273408,0.4225992863955521
321,321,124.40229120000001,0.6481073887490798
322,322,126.1725696,0.5069143028868297
323,323,127.6209792,0.453286694712353
324,324,125.85070080000001,-0.11354487629796664
325,325,122.31014400000001,-0.3385002312053976
326,326,121.66640639999999,0.03921238058832932
327,327,122.95388160000002,0.39840679367406945
328,328,124.8850944,0.5295112646383247
329,329,125.52883200000001,0.2895298396797856
330,330,127.2991104,0.5133058120019165
331,331,127.942848,0.29940320676452364
332,332,128.5865856,0.3020586002786732
333,333,128.5865856,0.17743951764998933
334,334,129.23032320000002,0.30469666456713473
335,335,129.23032320000002,0.17945083252853702
336,336,127.942848,-0.0489634512792419
337,337,127.942848,0.17534006720148015
338,338,127.2991104,0.050405506372529996
339,339,126.65537280000001,0.04905341838104066
340,340,124.8850944,-0.11362767457058107
341,341,123.114816,-0.11395072954861866
342,342,119.5742592,-0.3335000604681882
343,343,116.83837439999999,-0.23124398482648045
344,344,113.9415552,-0.24729483643249428
345,345,108.7916544,-0.4957378035536327
346,346,106.86044160000002,-0.1310709539748216
347,347,107.34324480000001,0.1968325541560953
348,348,106.37763840000001,-0.024601902059649093
349,349,106.0557696,0.06543889110096937
350,350,106.53857280000001,0.19446373199536213
351,351,106.37763840000001,0.0916302089501588
352,352,107.98698239999999,0.3810515841189567
353,353,108.46978560000001,0.20051480641677757
354,354,109.9181952,0.36411921654163665
355,355,109.9181952,0.12565533773087975
356,356,110.56193280000001,0.2338386193979904
357,357,109.7572608,-0.004263463106249021
358,358,109.59632640000001,0.09848584396489599
359,359,109.43539200000001,0.09814022340986092
360,360,107.98698239999999,-0.07766113578970357
361,361,106.86044160000002,-0.04215100989236976
362,362,106.37763840000001,0.04048136834205621
363,363,105.7339008,0.014031656129985956
364,364,106.216704,0.19368284886251236
365,365,106.86044160000002,0.2214081187402786
366,366,106.216704,0.014665795942259975
367,367,106.6995072,0.1951927269350103
368,368,107.826048,0.3026455262715492
369,369,108.63072,0.2535852010069827
370,370,109.2744576,0.22958422314391166
